kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad,koi_teq,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_model_snr,koi_num_transits
K05689.01,CANDIDATE,CANDIDATE,,114.12716,1.719,974.0,2.76,0.823,295.0,4816.0,4.508,0.34,15.983,6.3,
K05690.01,CANDIDATE,CANDIDATE,,17.0497376,3.271,478.6,45.89,14.954,1971.0,5039.0,2.587,0.07,13.582,6.4,
K05691.01,FALSE POSITIVE,FALSE POSITIVE,,13.0366377,3.184,154.6,2.23,1.677,1047.0,6084.0,4.009,-0.28,13.543,15.4,84.0
K05692.01,CANDIDATE,CANDIDATE,0.994,2.64181261,2.127,70.0,0.59,0.683,834.0,4147.0,4.601,0.44,14.137,12.7,508.0
K05828.01,FALSE POSITIVE,FALSE POSITIVE,,270.98477,6.718,13883.0,11761.1,1.555,594.0,11068.0,4.377,-0.5,14.977,10.7,
K05829.01,CANDIDATE,CANDIDATE,,583.8531,5.09,491.0,1.97,0.86,196.0,5591.0,4.559,0.07,14.857,5.4,
K05830.01,CANDIDATE,CANDIDATE,,72.782432,3.726,245.8,11.19,7.317,924.0,5099.0,3.021,-0.12,13.628,8.5,
K05831.01,CANDIDATE,CANDIDATE,1.0,10.552241908,2.7355,954.0,1.75,0.585,485.0,4031.0,4.666,-0.1,15.712,12.3,17.0
K05832.01,FALSE POSITIVE,FALSE POSITIVE,0.001,2.74703312,2.655,152.2,61.97,3.134,2917.0,8237.0,3.753,-0.14,12.597,23.1,393.0
K05833.01,CANDIDATE,CANDIDATE,0.94,440.171272,12.217,783.5,5.97,1.679,334.0,6261.0,4.001,-0.46,13.014,38.0,3.0
K05834.01,CANDIDATE,CANDIDATE,0.089,37.537859,6.513,269.0,1.77,1.082,583.0,6095.0,4.429,0.14,15.769,8.2,23.0
K05835.01,CANDIDATE,CANDIDATE,,474.96952,4.58,595.0,2.44,0.962,249.0,6287.0,4.473,-0.4,15.087,6.4,
K05439.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0.864651455,3.461,67.7,0.69,0.851,1720.0,5587.0,4.556,0.0,14.901,16.5,1548.0
K05440.01,CANDIDATE,CANDIDATE,0.716,74.624063,8.881,346.9,1.75,0.937,448.0,6187.0,4.499,-0.32,15.335,11.0,15.0
K05441.01,FALSE POSITIVE,FALSE POSITIVE,1.0,25.4805211,10.701,159.0,1.25,0.986,659.0,6250.0,4.472,-0.26,13.181,17.7,51.0
K05442.01,FALSE POSITIVE,FALSE POSITIVE,,512.11636,9.557,315.4,1.47,0.812,198.0,5492.0,4.576,-0.08,13.8,10.9,
K05443.01,FALSE POSITIVE,FALSE POSITIVE,,348.61891,3.567,689.0,2.4,0.914,253.0,5911.0,4.519,-0.1,15.306,5.8,
